n_tar,n_sp,id,Runtime,Obj
6,19,1,33.080000162124634,8.026
6,19,2,5.876999855041504,7.018
6,19,3,5.769000053405762,6.023
6,19,4,39.46399998664856,9.02
12,2,0,500.0,0
12,2,1,500.0,0
12,2,2,500.0,0
12,2,3,500.0,0
12,2,4,500.0,0
12,3,0,500.0,0
12,3,1,500.0,0
12,3,2,500.0,0
12,3,3,500.0,0
12,3,4,500.0,0
12,4,0,500.0,0
12,4,1,500.0,0
12,4,2,500.0,0
12,4,3,500.0,0
12,4,4,500.0,0
12,5,0,500.0,0
12,5,1,500.0,0
12,5,2,500.0,0
12,5,3,500.0,0
12,5,4,500.0,0
12,6,0,500.0,0
12,6,1,500.0,0
12,6,2,500.0,0
12,6,3,500.0,0
12,6,4,500.0,0
12,12,0,500.0,0
12,12,1,500.0,0
12,12,2,500.0,0
12,12,3,141.54800009727478,8.039
12,12,4,122.9670000076294,8.037
12,13,0,500.0,0
12,13,1,70.33100008964539,7.04
12,13,2,43.93399977684021,6.036
12,13,3,500.0,0
12,13,4,500.0,0
18,2,0,500.0,0
18,2,1,500.0,0
18,2,2,500.0,0
18,2,3,500.0,0
18,2,4,500.0,0
18,3,0,500.0,0
18,3,1,500.0,0
18,3,2,500.0,0
18,3,3,500.0,0
18,3,4,500.0,0
18,4,0,500.0,0
18,4,1,500.0,0
18,4,2,500.0,0
18,4,3,500.0,0
18,4,4,500.0,0
18,5,0,500.0,0
18,5,1,500.0,0
18,5,2,500.0,0
18,5,3,500.0,0
18,5,4,500.0,0
18,6,0,500.0,0
18,6,1,500.0,0
18,6,2,500.0,0
18,6,3,500.0,0
18,6,4,500.0,0
18,7,0,500.0,0
18,7,1,500.0,0
18,7,2,500.0,0
18,7,3,500.0,0
18,7,4,500.0,0
